term_id,en_term,ko_term,category,definition,source_en,source_ko,aliases,notes,status
replacement_marker,Replacement Marker,보충 마커,marker,보충을 받은 유닛에 놓는 표시,Stal42_RULES-2025-Final_LoRes.pdf §21.4,Stal42_RULES-2025-Final_LoRes_KO.pdf §21.4,,,confirmed
reinforcement,Reinforcement,증원,reinforcement,정해진 턴에 진입 구역에 등장하는 유닛,Stal42_RULES-2025-Final_LoRes.pdf §22.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §22.1,,,confirmed
clear_weather,Clear,맑음,weather,날씨 표에서 별도 제한이 없는 결과,Stal42_RULES-2025-Final_LoRes.pdf §23.2.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §23.2.1,Clear Weather,,confirmed
overcast,Overcast,흐림,weather,공군 가용성 등에 영향을 주는 날씨 결과,Stal42_RULES-2025-Final_LoRes.pdf §23.2.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §23.2.2,,,confirmed
rain,Rain,비,weather,이동과 공군 등에 제한을 주는 날씨 결과,Stal42_RULES-2025-Final_LoRes.pdf §23.2.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §23.2.3,,,confirmed
snow,Snow,눈,weather,겨울 이동과 전투에 영향을 주는 날씨 결과,Stal42_RULES-2025-Final_LoRes.pdf §23.2.4,Stal42_RULES-2025-Final_LoRes_KO.pdf §23.2.4,,,confirmed
mud,Mud,진흙탕,weather,라스푸티차 시기에 비와 비슷한 제한을 주는 상태,Stal42_RULES-2025-Final_LoRes.pdf §23.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §23.3.3,,,confirmed
rasputitsa,Rasputitsa,라스푸티차,weather,특정 턴에 진흙탕 효과를 적용하는 시기,Stal42_RULES-2025-Final_LoRes.pdf §23.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §23.3,,,confirmed
victory_point,Victory Point,승점,victory,추축국이 목표 점령 등으로 획득·기록하는 점수,Stal42_RULES-2025-Final_LoRes.pdf §24.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §24.1,VP; VPs,,confirmed
automatic_victory,Automatic Victory,자동 승리,victory,승리 결정 페이즈의 승점 조건으로 게임이 끝나는 것,Stal42_RULES-2025-Final_LoRes.pdf §24.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §24.2,,,confirmed
reserve,Reserve,예비대,rule,마커를 사용해 특정 유닛의 후속 이동을 허용하는 고급 규칙,Stal42_RULES-2025-Final_LoRes.pdf §25.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §25.0,,,confirmed
planned_offensive,Planned Offensive,계획된 공세,rule,자원 포인트를 써서 준비하는 공격 규칙,Stal42_RULES-2025-Final_LoRes.pdf §26.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §26.0,PO,,confirmed
disengagement,Disengagement,철수,movement,전투 페이즈에 적과의 접촉에서 벗어나려는 시도,Stal42_RULES-2025-Final_LoRes.pdf §27.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §27.0,,,confirmed
contested_city_hex,Contested City Hex,도시 공방전,rule,양측 유닛이 관련된 도시 헥스의 특수 상태,Stal42_RULES-2025-Final_LoRes.pdf §29.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §29.0,,TODO_GLOSSARY_REVIEW; docs/glossary_notes.md 참조,ambiguous
trans_caucasus_front_box,Trans-Caucasus Front Box,트란스-코카서스 전선군 박스,map,캠페인 게임의 별도 전선군 관리 박스,Stal42_RULES-2025-Final_LoRes.pdf §30.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §30.0,,,confirmed
soviet_reserve_army,Soviet Reserve Armies,소련 예비대 군,unit,캠페인 게임의 소련 예비대 군 유닛,Stal42_RULES-2025-Final_LoRes.pdf §31.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §31.0,,TODO_GLOSSARY_REVIEW; docs/glossary_notes.md 참조,ambiguous
maskirovka_reserve_army,Maskirovka Reserve Armies,기만 전술 예비대 군,unit,소련 플레이어가 부대를 숨겨 관리하는 예비대 군 박스와 유닛,Stal42_RULES-2025-Final_LoRes.pdf §34.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §34.1,,,confirmed
winter_offensive,Winter Offensive,겨울 공세,scenario,소련의 겨울 공세 시기와 효과를 정하는 규칙,Stal42_RULES-2025-Final_LoRes.pdf §33.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §33.0,,,confirmed
maskirovka,Maskirovka,기만 전술,rule,소련 예비대 군의 은폐와 이동을 다루는 캠페인 규칙,Stal42_RULES-2025-Final_LoRes.pdf §34.0,Stal42_RULES-2025-Final_LoRes_KO.pdf §34.0,,,confirmed
fall_blau_scenario,Fall Blau Scenario,청색 작전,scenario,청색 작전을 다루는 시나리오,Stal42_RULES-2025-Final_LoRes.pdf §S1,Stal42_RULES-2025-Final_LoRes_KO.pdf §S1,,,confirmed
caucasus_campaign,Caucasus Campaign,코카서스 캠페인,scenario,코카서스 전역 시나리오,Stal42_RULES-2025-Final_LoRes.pdf §S2,Stal42_RULES-2025-Final_LoRes_KO.pdf §S2,,,confirmed
operation_uranus,Operation Uranus,천왕성 작전,scenario,천왕성 작전 시나리오,Stal42_RULES-2025-Final_LoRes.pdf §S3,Stal42_RULES-2025-Final_LoRes_KO.pdf §S3,,,confirmed
campaign_game,Campaign Game,캠페인 게임,scenario,전 기간을 다루는 시나리오,Stal42_RULES-2025-Final_LoRes.pdf §S4,Stal42_RULES-2025-Final_LoRes_KO.pdf §S4,,,confirmed
little_saturn,Little Saturn,소토성,scenario,확장 시나리오의 소련 공세,Stal43-LittleSaturn_2025-LoRes.pdf p.1,Stal43-LittleSaturn_2025-LoRes_KO.pdf p.1,,,confirmed
winter_storm,Winter Storm,겨울폭풍,scenario,확장 시나리오의 독일 공세,Stal43-LittleSaturn_2025-LoRes.pdf p.1,Stal43-LittleSaturn_2025-LoRes_KO.pdf p.1,,,confirmed
